log_population,log_density,birth_rate,death_rate,life_expectancy,infant_mortality,log_gdp,log_gdp_pc,unemployment,electricity_consumption,internet_users,year,years_since_1970,growth_rate,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,Income_High income: nonOECD,Income_Low income,Income_Lower middle income,Income_Upper middle income,life_exp_x_gdp_pc,birth_rate_x_internet
15.939307324946675,4.668968120459042,9.4,9.2,80.5805,3.6,26.694527676736875,10.754877030826584,4.82,8382.71,75.17,2010,40,1.002,True,False,False,False,False,False,False,False,False,False,866.6333685825216,706.5980000000001
15.972193309862549,4.668968120459042,9.8,9.6,81.1902,3.0,26.668686445552986,10.69595277975247,5.723,,83.9401,2015,45,1.002,True,False,False,False,False,False,False,False,False,False,868.4065453786591,822.6129800000001
15.506586888863369,4.784221401039183,32.003,9.491,63.141,,,,,,,1970,0,1.0044,True,False,False,False,False,False,False,False,False,True,,
15.669158164162681,4.784221401039183,26.591,8.358,64.161,,,,,,,1980,10,1.0044,True,False,False,False,False,False,False,False,False,True,,
15.820745122589564,4.784221401039183,25.9,6.1,64.827,76.1,22.90458797136979,7.120703029317853,,2575.64,0.0,1990,20,1.0044,True,False,False,False,False,False,False,False,False,True,461.6138152815884,0.0
15.918465602723854,4.784221401039183,14.5,5.8,66.763,61.3,22.385793229659914,6.484783316273826,11.8,2040.48,0.147758,2000,30,1.0044,True,False,False,False,False,False,False,False,False,True,432.94358854438946,2.142491
16.03874958390768,4.784221401039183,18.3,5.9,70.938,32.8,24.691720214205727,8.672967124483373,5.63,1603.43,46.0,2010,40,1.0044,True,False,False,False,False,False,False,False,False,True,615.2429418766015,841.8000000000001
16.104349605486203,4.784221401039183,17.2,5.7,72.266,23.3,24.694962423860176,8.612561551346248,4.96,,77.0,2015,45,1.0044,True,False,False,False,False,False,False,False,False,True,622.395373069588,1324.3999999999999
12.095861495655743,3.381140922153305,26.38,6.427,65.87,26.0,20.104155054550258,8.064271629351646,,,,1970,0,1.0051,False,True,False,False,False,False,True,False,False,False,531.1935722253929,
12.31829357464464,3.381140922153305,26.075,6.167,67.488,24.9,21.012421822654193,8.754749182758781,,,,1980,10,1.0051,False,True,False,False,False,False,True,False,False,False,590.8405128460246,
12.508688895940047,3.381140922153305,23.892,5.592,70.199,19.7,21.875734798405233,9.421929426450706,,,0.0,1990,20,1.0051,False,True,False,False,False,False,True,False,False,False,661.4100238074132,0.0
12.691623537307168,3.381140922153305,17.609,5.831,71.914,13.0,22.812220732830905,10.207200442060437,7.153,,8.0,2000,30,1.0051,False,True,False,False,False,False,True,False,False,False,734.0406125903343,140.872
